"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Lamine Yamal","Spain","M",1,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Erling Haaland","Norway","F",2,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Nico Williams","Spain","M",3,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Lionel Messi","Argentina","F",4,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Cristiano Ronaldo","Portugal","F",5,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Kylian Mbappe","France","F",6,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Viktor Gyokeres","Sweden","F",7,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Florian Wirtz","Germany","F",8,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Vini Jr.","Brazil","F",9,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Robert Lewandowski","Poland","F",10,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Luka Modric","Croatia","M",11,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Alexander Isak","Sweden","F",12,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Pedri","Spain","M",13,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Jude Bellingham","England","M",14,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Kaka","Brazil","M",15,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Gabriel Batistuta","Argentina","F",16,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Gianluigi Buffon","Italy","G",17,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Luis Suarez","Uruguay","F",18,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Ronaldo","Brazil","F",19,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Edinson Cavani","Uruguay","F",20,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Neymar Jr","Brazil","F",21,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Manuel Neuer","Germany","G",22,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Pele","Brazil","F",23,
