"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Desire Doue","Paris Saint-Germain","M",1,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Achraf Hakimi","Paris Saint-Germain","D",2,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Senny Mayulu ","Paris Saint-Germain","M",3,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Fabian Ruiz","Paris Saint-Germain","M",4,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Mason Greenwood","Olympique de Marseille","F",5,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Vitinha","Paris Saint-Germain","M",6,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Mika Biereth","AS Monaco","F",7,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Khvicha Kvaratskhelia ","Paris Saint-Germain","M",8,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Darryl Bakola","Olympique de Marseille","M",9,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Kendry Paez","RC Strasbourg Alsace","M",10,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Joaquin Panichelli","RC Strasbourg Alsace","F",11,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Maghnes Akliouche","AS Monaco","M",12,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Bruno Guimaraes","Olympique Lyonnais","M",13,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Emmanuel Petit","AS Monaco","M",14,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Rudi Voller ","Olympique de Marseille","F",15,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Gregory Coupet ","Olympique Lyonnais","G",16,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Youri Djorkaeff","AS Monaco","M",17,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Patrick Kluivert ","LOSC Lille","F",18,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","William Saliba","Olympique de Marseille","D",19,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Thierry Henry","AS Monaco","F",20,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Lionel Messi","Paris Saint-Germain","F",21,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Angel Di Maria","Paris Saint-Germain","M",22,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Lilian Thuram","AS Monaco","D",23,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Franck Ribery","FC Metz","M",24,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","James Rodriguez","AS Monaco","M",25,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Artistic Impressions Ligue 1","Raphinha","Stade Rennais FC","M",26,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Kang-in Lee","Paris Saint-Germain","M",1,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Marquinhos (D)","Paris Saint-Germain","D",2,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Goncalo Ramos","Paris Saint-Germain","F",4,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Vitinha","Paris Saint-Germain","M",5,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Mohamed-Ali Cho","OGC Nice","M",6,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Timothy Weah","Olympique de Marseille","F",7,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1","Olivier Giroud","LOSC Lille","F",10,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Kang-in Lee","Paris Saint-Germain","M",1,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Marquinhos (D)","Paris Saint-Germain","D",2,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Ansu Fati","AS Monaco","F",3,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Goncalo Ramos","Paris Saint-Germain","F",4,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Vitinha","Paris Saint-Germain","M",5,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Mohamed-Ali Cho","OGC Nice","M",6,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Timothy Weah","Olympique de Marseille","F",7,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Black","Olivier Giroud","LOSC Lille","F",10,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Kang-in Lee","Paris Saint-Germain","M",1,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Marquinhos (D)","Paris Saint-Germain","D",2,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Ansu Fati","AS Monaco","F",3,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Goncalo Ramos","Paris Saint-Germain","F",4,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Vitinha","Paris Saint-Germain","M",5,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Mohamed-Ali Cho","OGC Nice","M",6,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Timothy Weah","Olympique de Marseille","F",7,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Gold","Olivier Giroud","LOSC Lille","F",10,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Kang-in Lee","Paris Saint-Germain","M",1,3
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Marquinhos (D)","Paris Saint-Germain","D",2,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Ansu Fati","AS Monaco","F",3,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Goncalo Ramos","Paris Saint-Germain","F",4,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Vitinha","Paris Saint-Germain","M",5,3
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Mohamed-Ali Cho","OGC Nice","M",6,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Timothy Weah","Olympique de Marseille","F",7,3
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Green","Olivier Giroud","LOSC Lille","F",10,5
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Kang-in Lee","Paris Saint-Germain","M",1,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Marquinhos (D)","Paris Saint-Germain","D",2,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Ansu Fati","AS Monaco","F",3,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Goncalo Ramos","Paris Saint-Germain","F",4,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Vitinha","Paris Saint-Germain","M",5,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Mohamed-Ali Cho","OGC Nice","M",6,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Timothy Weah","Olympique de Marseille","F",7,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Peacock","Olivier Giroud","LOSC Lille","F",10,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Kang-in Lee","Paris Saint-Germain","M",1,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Marquinhos (D)","Paris Saint-Germain","D",2,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Ansu Fati","AS Monaco","F",3,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Goncalo Ramos","Paris Saint-Germain","F",4,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Vitinha","Paris Saint-Germain","M",5,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Mohamed-Ali Cho","OGC Nice","M",6,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Timothy Weah","Olympique de Marseille","F",7,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Red Wave","Olivier Giroud","LOSC Lille","F",10,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Kang-in Lee","Paris Saint-Germain","M",1,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Marquinhos (D)","Paris Saint-Germain","D",2,25
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Goncalo Ramos","Paris Saint-Germain","F",4,25
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Vitinha","Paris Saint-Germain","M",5,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Mohamed-Ali Cho","OGC Nice","M",6,25
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Timothy Weah","Olympique de Marseille","F",7,10
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Pierre-Emerick Aubameyang","Olympique de Marseille","F",9,25
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Autographed Memorabilia Ligue 1 - Tie-Dye","Olivier Giroud","LOSC Lille","F",10,25
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Maghnes Akliouche","AS Monaco","M",201,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Matthis Abline","FC Nantes","F",202,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Alexsandro","LOSC Lille","D",203,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Mika Biereth","AS Monaco","F",204,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Ousmane Dembele","Paris Saint-Germain","M",205,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Vanderson","AS Monaco","D",206,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Julio Enciso","RC Strasbourg Alsace","F",207,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Matt O’Riley ","Olympique de Marseille","M",208,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Vitinha","Paris Saint-Germain","M",209,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Folarin Balogun","AS Monaco","F",210,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Khvicha Kvaratskhelia ","Paris Saint-Germain","M",211,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Mason Greenwood","Olympique de Marseille","F",212,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Malick Fofana","Olympique Lyonnais","M",213,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Lucas Chevalier","Paris Saint-Germain","G",214,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Takumi Minamino","AS Monaco","M",215,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Timothy Weah","Olympique de Marseille","F",216,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Igor Paixao","Olympique de Marseille","M",217,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Edinson Cavani","Paris Saint-Germain","F",218,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Eden Hazard","LOSC Lille","M",219,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Lamine Camara","AS Monaco","M",220,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Eric Cantona","Olympique de Marseille","F",221,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Arthur Vermeeren","Olympique de Marseille","M",222,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","George Weah ","Paris Saint-Germain","F",223,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Lionel Messi","Paris Saint-Germain","F",224,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Nuno Mendes","Paris Saint-Germain","D",225,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Ansu Fati","AS Monaco","F",226,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Marquinhos (D)","Paris Saint-Germain","D",227,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Mohamed-Ali Cho","OGC Nice","M",228,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Jonathan Ikone","Paris FC","F",229,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Emmanuel Emegha","RC Strasbourg Alsace","F",230,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Kylian Mbappe","AS Monaco","F",231,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Matias Fernandez-Pardo","LOSC Lille","M",232,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Neymar Jr","Paris Saint-Germain","F",233,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Kang-in Lee","Paris Saint-Germain","M",234,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Warren Zaire-Emery","Paris Saint-Germain","M",235,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Pierre-Emerick Aubameyang","Olympique de Marseille","F",236,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Ayyoub Bouaddi","LOSC Lille","M",237,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Brian Madjo ","FC Metz","F",238,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Jean-Pierre Papin ","Olympique de Marseille","F",239,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Guillaume Restes","Toulouse FC","G",240,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Ilan Kebbal","Paris FC","M",241,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Amine Gouiri ","Olympique de Marseille","F",242,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Olivier Giroud","LOSC Lille","F",243,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Joaquin Panichelli","RC Strasbourg Alsace","F",244,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Facundo Medina","Olympique de Marseille","D",245,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Esteban Lepaul","Stade Rennais FC","F",246,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Bradley Barcola","Paris Saint-Germain","M",247,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Thierry Henry","AS Monaco","F",248,
